country,resort,hotel,price (£),distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm),price ($),ratings,num_reviews,relative_score,value_metric,proportion_blues,proportion_reds,proportion_blacks
andorra,arinsal,hotel-palarine,635.0,1000.0,1550.0,63.0,30,2,11,13,22,16,4,42,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-palarine_4470?holidayId=58524575,72,30.0,60.0,130.0,180.0,120.0,170.0,781.05,4.3,196,842.8,1.0790602394212918,0.5238095238095238,0.5238095238095238,0.09523809523809523
italy,canazei,hotel-cesa-rotic,642.0,500.0,1460.0,120.0,58,9,28,21,30,41,3,74,https://www.igluski.com/ski-resorts/italy/canazei/hotel-cesa-rotic_32288?holidayId=58453515,24,50.0,160.0,50.0,120.0,50.0,120.0,789.66,4.6,103,473.79999999999995,0.6000050654712155,0.40540540540540543,0.40540540540540543,0.04054054054054054
andorra,arinsal,hotel-montane,658.0,40.0,1550.0,63.0,30,2,11,13,22,16,4,42,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-montane_6327?holidayId=58468586,54,30.0,60.0,130.0,180.0,120.0,170.0,809.34,4.1,274,1123.3999999999999,1.3880445795339411,0.5238095238095238,0.5238095238095238,0.09523809523809523
italy,courmayeur,hotel-dei-camosci,662.0,,1224.0,100.0,16,5,8,3,6,12,4,22,https://www.igluski.com/ski-resorts/italy/courmayeur/hotel-dei-camosci_3592?holidayId=58507295,50,40.0,100.0,40.0,100.0,41.0,117.0,814.26,4.4,241,1060.4,1.3022867388794734,0.2727272727272727,0.2727272727272727,0.18181818181818182
austria,alpbach,pension-furstenhof,662.0,,1000.0,145.0,47,7,8,31,24,34,11,69,https://www.igluski.com/ski-resorts/austria/alpbach/pension-furstenhof_1267?holidayId=58495260,24,0.0,0.0,50.0,106.0,48.0,114.0,814.26,4.6,33,151.79999999999998,0.18642693979809888,0.34782608695652173,0.34782608695652173,0.15942028985507245
bulgaria,bansko,hotel-tanne,677.0,600.0,935.0,70.0,24,1,7,16,5,8,1,14,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-tanne_22712?holidayId=58470269,70,0.0,70.0,5.0,75.0,5.0,77.0,832.71,4.5,373,1678.5,2.0157077493965487,0.35714285714285715,0.35714285714285715,0.07142857142857142
bulgaria,bansko,hotel-strazhite,677.0,300.0,935.0,70.0,24,1,7,16,5,8,1,14,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-strazhite_18508?holidayId=58467406,304,0.0,70.0,5.0,75.0,5.0,77.0,832.71,4.0,292,1168.0,1.4026491815878277,0.35714285714285715,0.35714285714285715,0.07142857142857142
italy,selva-val-gardena,garni-romantica,681.0,720.0,1563.0,175.0,81,9,41,31,32,23,4,59,https://www.igluski.com/ski-resorts/italy/selva-val-gardena/garni-romantica_40758?holidayId=58515303,100,72.0,165.0,50.0,150.0,49.0,149.0,837.63,4.6,33,151.79999999999998,0.18122560080226352,0.5423728813559322,0.5423728813559322,0.06779661016949153
andorra,pas-de-la-casa,hotel-de-les-pistes,689.0,,2050.0,193.0,63,4,28,26,40,37,23,100,https://www.igluski.com/ski-resorts/andorra/pas-de-la-casa/hotel-de-les-pistes_30905?holidayId=58467988,48,15.0,40.0,80.0,165.0,52.0,140.0,847.47,3.8,53,201.39999999999998,0.23764853033145714,0.4,0.4,0.23
italy,sauze-d-oulx,hotel-clotes,692.0,100.0,1503.0,400.0,89,0,35,54,31,97,32,160,https://www.igluski.com/ski-resorts/italy/sauze-d-oulx/hotel-clotes_36709?holidayId=58504633,,150.0,220.0,35.0,300.0,96.0,280.0,851.16,4.2,32,134.4,0.15790215705625266,0.19375,0.19375,0.2
